Element, Nterminals, Nconductors, P_1, Q_1, ...,,,,,,,,,,,,,,,,,
Line.l(r:p1udt62lv-p1ulv157),2,3,23.9501,4.87823,23.9501,4.87825,23.9501,4.87825,-23.9369,-4.8606,-23.9369,-4.8606,-23.937,-4.86061,,,,,,,,
Line.l(r:p1udt175lv-p1ulv493),2,3,68.892,14.2038,68.8921,14.204,68.8921,14.2039,-68.704,-13.9509,-68.7041,-13.951,-68.7043,-13.951,,,,,,,,
Line.l(r:p1udt175-p1umv5),2,3,69.7776,15.2458,69.7778,15.2461,69.7778,15.2452,-69.7755,-15.5273,-69.7757,-15.5276,-69.7756,-15.5268,,,,,,,,
Line.l(r:p1udm721-p1ulv530),2,3,6.7431,1.37253,6.74311,1.37254,6.74313,1.37254,-6.74004,-1.36862,-6.74005,-1.36863,-6.74007,-1.36863,,,,,,,,
Line.l(r:p1udm721-p1udt201lv),2,3,6.74687,1.37735,6.74688,1.37736,6.74689,1.37736,-6.7431,-1.37253,-6.74311,-1.37254,-6.74313,-1.37254,,,,,,,,
Line.l(r:p1udm722-p1ulv1845),2,3,37.2572,7.60397,37.2573,7.60401,37.2574,7.604,-37.2234,-7.55854,-37.2235,-7.55855,-37.2236,-7.55857,,,,,,,,
Line.l(r:p1udm722-p1udt201lv),2,3,37.3449,7.72177,37.345,7.72187,37.3449,7.7218,-37.2572,-7.60397,-37.2573,-7.60401,-37.2574,-7.604,,,,,,,,
Line.l(r:p1udt201-p1udt454),2,3,100.041,22.1819,100.041,22.1825,100.041,22.1811,-100.037,-22.411,-100.038,-22.4116,-100.038,-22.4102,,,,,,,,
Line.l(r:p1udt201-p1umv5),2,3,144.845,31.768,153.704,33.4147,144.843,31.7668,-144.834,-32.0649,-153.693,-33.7082,-144.834,-32.0637,,,,,,,,
Line.l(r:p1udt61lv-p1ulv156),2,3,102.563,21.0532,102.563,21.0533,102.563,21.0533,-102.485,-20.8105,-102.485,-20.8105,-102.485,-20.8106,,,,,,,,
Line.l(r:p1udt1lv-p1ulv2),2,3,27.0475,5.51261,27.0476,5.51263,27.0476,5.51263,-27.0405,-5.49081,-27.0405,-5.49082,-27.0406,-5.49083,,,,,,,,
Line.l(r:p1udt1-p1umv9),2,3,27.5144,5.78815,27.5144,5.78822,27.5145,5.78816,-27.514,-5.80701,-27.514,-5.80708,-27.5141,-5.80702,,,,,,,,
Line.l(r:p1udt258lv-p1ulv646),2,3,20.4964,4.16512,20.4964,4.16513,20.4965,4.16513,-20.4936,-4.16141,-20.4936,-4.16141,-20.4937,-4.16142,,,,,,,,
Line.l(r:p1udt259lv-p1ulv647),2,3,23.3573,4.75364,23.3573,4.75364,23.3573,4.75365,-23.3536,-4.74215,-23.3536,-4.74215,-23.3536,-4.74216,,,,,,,,
Line.l(r:p1udt260-p1umv3),2,3,279.936,56.8698,279.937,56.8699,279.937,56.87,-279.905,-56.8371,-279.905,-56.8371,-279.905,-56.8372,,,,,,,,
Line.l(r:p1udt104-p1udt212),2,3,-3.64E-12,-1.85E-10,-5.47E-11,-9.05E-11,3.90E-10,-2.68E-10,1.39E-06,-0.0204397,-2.00E-06,-0.0204377,6.18E-07,-0.0204427,,,,,,,,
Line.l(r:p1udt201-p1umv7),2,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Line.l(r:p1udt175-p1udt258),2,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Line.l(r:p1udt258-p1udt447),2,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Line.l(r:p1udt454lv-p1ulv1912)p1ud1,2,3,98.8764,20.6561,98.8768,20.6564,98.8766,20.6561,-98.678,-20.0374,-98.6782,-20.0375,-98.6785,-20.0375,,,,,,,,
Line.padswitch(r:p1udt201-p1udt471)p1u_9171,2,1,8.85881,1.64243,-8.85882,-1.6425,,,,,,,,,,,,,,,,
Line.padswitch(r:p1udt201-p1udt471)p1u_9172,2,1,8.85872,1.82189,-8.85873,-1.82197,,,,,,,,,,,,,,,,
Line.padswitch(r:p1umv10-p1umv5)p1u_9175,2,3,514.71,107.239,523.571,108.925,514.679,107.239,-514.705,-107.233,-523.565,-108.92,-514.674,-107.234,,,,,,,,
Line.padswitch(r:p1umv10-p1umv5)p1u_9176,2,3,514.297,107.87,523.157,109.517,514.295,107.868,-514.291,-107.864,-523.151,-109.512,-514.29,-107.863,,,,,,,,
Line.padswitch(r:p1udt62-p1umv10)p1u_9177,2,3,1149.88,236.499,1158.75,238.246,1149.81,236.502,-1149.86,-236.473,-1158.72,-238.219,-1149.78,-236.476,,,,,,,,
Line.padswitch(r:p1udt62-p1umv10)p1u_9178,2,3,1148.5,235.956,1157.36,237.643,1148.47,235.957,-1148.47,-235.93,-1157.34,-237.617,-1148.44,-235.93,,,,,,,,
Line.padswitch(r:p1udt175-p1umv5)p1u_9167,2,3,69.7777,15.2458,69.7779,15.2462,69.7779,15.2453,-69.7776,-15.2458,-69.7778,-15.2461,-69.7778,-15.2452,,,,,,,,
Line.padswitch(r:p1udt175-p1umv5)p1u_9168,2,3,69.7755,15.5273,69.7757,15.5276,69.7756,15.5268,-69.7754,-15.5272,-69.7756,-15.5276,-69.7755,-15.5267,,,,,,,,
Line.padswitch(r:p1udt201-p1udt454)p1u_9169,2,3,100.041,22.1821,100.042,22.1827,100.042,22.1812,-100.041,-22.1819,-100.041,-22.1825,-100.041,-22.1811,,,,,,,,
Line.padswitch(r:p1udt201-p1udt454)p1u_9170,2,3,100.037,22.411,100.038,22.4116,100.038,22.4102,-100.037,-22.4108,-100.038,-22.4114,-100.038,-22.41,,,,,,,,
Line.padswitch(r:p1udt201-p1umv5)p1u_9173,2,3,144.845,31.7684,153.705,33.4151,144.843,31.7672,-144.845,-31.768,-153.704,-33.4147,-144.843,-31.7668,,,,,,,,
Line.padswitch(r:p1udt201-p1umv5)p1u_9174,2,3,144.834,32.0649,153.693,33.7082,144.834,32.0637,-144.834,-32.0645,-153.693,-33.7077,-144.834,-32.0633,,,,,,,,
Line.fuse(r:p1udt104-p1udt2)p1u_11961,2,1,19.1251,3.93519,-19.1251,-3.93526,,,,,,,,,,,,,,,,
Line.fuse(r:p1udt201-p1udt471)p1u_11975,2,1,8.8588,1.64235,-8.8588,-1.64242,,,,,,,,,,,,,,,,
Line.goab_disswitch(r:p1udt61-p1umv9)p1u_12229,2,3,615.877,126.261,615.896,126.254,633.015,129.828,-615.87,-126.253,-615.888,-126.247,-633.007,-129.82,,,,,,,,
Line.goab_disswitch(r:p1udt258-p1umv9)p1u_12235,2,3,324.844,66.6096,324.852,66.6069,341.955,70.1436,-324.842,-66.6075,-324.849,-66.6048,-341.953,-70.1413,,,,,,,,
Line.recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,2,3,1897.05,395.601,1906.01,397.364,1914.23,399.346,-1897.05,-395.601,-1906.01,-397.364,-1914.23,-399.346,,,,,,,,
Line.goab_disswitch(r:p1udt61-p1udt62)p1u_12239,2,3,720.596,150.612,720.647,150.592,737.809,154.272,-720.586,-150.601,-720.637,-150.582,-737.798,-154.261,,,,,,,,
Line.goab_disswitch(r:p1udt1-p1umv9)p1u_12263,2,3,27.5144,5.78814,27.5144,5.78822,27.5145,5.78815,-27.5144,-5.78815,-27.5144,-5.78822,-27.5145,-5.78816,,,,,,,,
Line.goab_disswitch(r:p1udt258-p1udt259)p1u_12272,2,3,303.829,62.0543,303.831,62.0536,320.928,65.5732,-303.827,-62.0525,-303.83,-62.0518,-320.926,-65.5712,,,,,,,,
Line.l(r:p1udt104-p1uhs0_1247)_disconnect,2,3,2050.42,468.099,2056.64,469.708,2045.33,467.096,-2050.34,-468.018,-2056.56,-469.627,-2045.25,-467.016,,,,,,,,
Line.l(r:p1udt104-p1uhs0_1247)_cont,2,3,2050.34,468.018,2056.56,469.627,2045.25,467.016,-2021.29,-424.083,-2027.45,-425.249,-2016.55,-423.314,,,,,,,,
