System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[  28,  27] =  -6.178762112 + j  8.000520556
[  29,  27] =  -6.178762112 + j  8.000520556
[  49,  27] =  -21.91209915 + j  34.96257257
[  50,  27] =   6.178762112 + j -8.000520579
[  51,  27] =   6.178762112 + j -8.000520579
[  28,  28] =   21.92314853 + j -34.96496449
[  29,  28] =  -6.178762112 + j  8.000520556
[  49,  28] =   6.178762112 + j -8.000520579
[  50,  28] =  -21.91209915 + j  34.96257257
[  51,  28] =   6.178762112 + j -8.000520579
[  29,  29] =   21.92314853 + j -34.96496449
[  49,  29] =   6.178762112 + j -8.000520579
[  50,  29] =   6.178762112 + j -8.000520579
[  51,  29] =  -21.91209915 + j  34.96257257
[  30,  30] =   500.0463117 + j -500.0103704
[  31,  30] =             0 + j-6.283185307E-12
[  32,  30] =             0 + j-6.283185307E-12
[  81,  30] =          -500 + j          500
[  31,  31] =   500.0463117 + j -500.0103704
[  32,  31] =             0 + j-6.283185307E-12
[  82,  31] =          -500 + j          500
[  32,  32] =   500.0463117 + j -500.0103704
[  83,  32] =          -500 + j          500
[  33,  33] =   500000.0014 + j -500000.0003
[  36,  33] =       -500000 + j       500000
[  34,  34] =   500018.3674 + j -500013.4545
[  67,  34] =       -500000 + j       500000
[  35,  35] =   500009.1198 + j -500009.4875
[  36,  35] =  -9.119813512 + j  9.487507857
[  93,  35] =       -500000 + j       500000
[  36,  36] =   500009.1198 + j -500009.4875
[  37,  37] =   505.0313062 + j -504.9554783
[  38,  37] =  -2.360457112 + j  1.701759271
[  39,  37] =  -2.360457112 + j  1.701759271
[  40,  37] =  -5.031306175 + j  4.955484596
[  41,  37] =   2.360457112 + j -1.701762353
[  42,  37] =   2.360457112 + j -1.701762353
[  94,  37] =          -500 + j          500
[  38,  38] =   505.0313062 + j -504.9554783
[  39,  38] =  -2.360457112 + j  1.701759271
[  40,  38] =   2.360457112 + j -1.701762353
[  41,  38] =  -5.031306175 + j  4.955484596
[  42,  38] =   2.360457112 + j -1.701762353
[  95,  38] =          -500 + j          500
[  39,  39] =   505.0313062 + j -504.9554783
[  40,  39] =   2.360457112 + j -1.701762353
[  41,  39] =   2.360457112 + j -1.701762353
[  42,  39] =  -5.031306175 + j  4.955484596
[  96,  39] =          -500 + j          500
[  40,  40] =   505.0313062 + j -504.9554783
[  41,  40] =  -2.360457112 + j  1.701759271
[  42,  40] =  -2.360457112 + j  1.701759271
